Sun Apr 01 14:12:15 GMT+09:00 2018,01-4월-2018 14:12:16.167,127.12293791,36.64129508,0.5,4,140,229.9,1.67,8.49,6.48,0.12,-0.2,-,-,997.47,-,14,2.75,1.1,-,14.5,∞,1.21,134.49,17,0.79,440,182.4,-14.87,0,0.96,0.02,2.9,45.16,0,1.06,0,0,57,4.31,23.21,12.17,0.16,0.85,0.57,0.1,26.27,1,14.57,1253.5,72,55.29,0,213.39,14.3,51,-0.29,6,85,31,14.21
Sun Apr 01 14:12:16 GMT+09:00 2018,01-4월-2018 14:12:17.176,127.12293512,36.64130645,0.75,3,140,347.8,2.11,9.14,5.89,0.15,-0.2,-,-,997.47,-,16,4.4,2,-,14.5,∞,1.58,134.49,17,3.83,440,182.4,-14.87,0,1.54,0.03,2.9,45.15,0,5.13,1.55,0,57,3.76,26.62,10.61,0.21,0.91,0.51,0.12,26.27,1,14.57,1682,72,71.37,0.01,213.4,14.3,51,0.73,21.73,85,31,15.23
Sun Apr 01 14:12:17 GMT+09:00 2018,01-4월-2018 14:12:18.172,127.12291463,36.64133233,2.75,3,140,324.2,2.59,8.76,5.64,0.11,-0.2,-,-,997.47,-,16,4.4,2,-,14.5,∞,1.58,134.49,17,3.83,440,198.6,-14.87,0,1.54,0.03,2.9,45.15,0,5.13,1.55,0,59,3.76,26.62,10.61,0.27,0.9,0.51,0.12,36.08,1,14.57,1682,72,71.37,0.01,213.4,14.2,52,0.73,21.73,85,31,15.23
Sun Apr 01 14:12:18 GMT+09:00 2018,01-4월-2018 14:12:19.193,127.12288973,36.64136426,3.75,4,140,323,2,9.05,5.83,0.13,-0.2,-,-,997.47,-,28,7.33,3.67,-,14.5,0.55,0.99,134.49,31,11.86,440,198.6,-14.87,0,3.04,0.05,8.2,45.15,0.01,15.9,1.66,0,59,3.41,29.35,9.62,0.2,0.92,0.49,0.12,36.08,1,14.57,1954,72,76.86,0.02,213.41,14.2,52,7.54,57.94,85,31,22.05
Sun Apr 01 14:12:19 GMT+09:00 2018,01-4월-2018 14:12:20.212,127.12285972,36.6414117,5.25,3,141,327.8,2.04,8.87,6.21,0.14,-0.2,-,-,997.47,-,28,7.33,3.67,-,14.5,0.55,0.99,134.49,31,11.86,440,218.6,-14.87,0,3.04,0.05,8.2,45.15,0.01,15.9,1.66,0,59,3.41,29.35,9.62,0.22,0.91,0.52,0.12,35.29,1,14.57,1954,72,76.86,0.02,213.41,14.3,52,7.54,57.94,85,31,22.05
Sun Apr 01 14:12:20 GMT+09:00 2018,01-4월-2018 14:12:21.192,127.12285271,36.64149729,6.75,4,140,337.1,2.02,8.53,6.1,0.11,-0.2,-,-,997.47,-,30,7.33,3.67,-,14.5,0.21,0.55,135.71,30,11.86,440,218.6,-14.87,0.01,2.62,0.04,8.1,45.15,0.01,15.9,3.55,0,61,3.43,29.17,9.68,0.21,0.87,0.52,0.09,35.29,1,14.57,2058,72,76.86,0.03,213.42,14.3,52,7.69,63.94,85,31,22.19
Sun Apr 01 14:12:21 GMT+09:00 2018,01-4월-2018 14:12:22.190,127.1228233,36.64157333,8.25,3,140,342.6,2.76,7.78,6.9,0.12,-0.2,-,-,997.47,-,30,10.71,5.77,-,14.5,0.21,0.55,135.71,30,13.78,440,218.6,-14.87,0.01,2.62,0.04,8.1,45.15,0.01,18.48,3.55,0,61,3.43,29.17,9.68,0.28,0.81,0.6,0.11,35.29,1,14.57,2058,71,87.06,0.03,213.42,14.3,52,7.69,63.94,86,32,22.19
Sun Apr 01 14:12:22 GMT+09:00 2018,01-4월-2018 14:12:23.215,127.12279223,36.64165007,8.75,4,140,342.7,2.78,7.59,6.6,0.08,-0.2,-,-,997.47,-,1,10.71,5.77,-,14.5,0.21,0.55,135.71,-6,13.78,440,236.1,-14.87,0.01,0.87,0.01,0,45.15,0.01,18.48,13.15,0,63,4.64,21.54,13.12,0.28,0.77,0.57,0.06,14.9,1,14.57,2058,71,87.06,0.03,213.42,14.3,52,1.16,63.94,86,32,15.66
Sun Apr 01 14:12:24 GMT+09:00 2018,01-4월-2018 14:12:24.200,127.12276473,36.6418142,8.75,3,139,347.3,2.38,7.63,6.88,0.09,-0.2,-,-,997.47,-,1,13.25,7.57,-,14.5,0.05,0.31,135.84,-6,13.78,440,236.1,-14.87,0.01,0.87,0.01,0,45.15,0.01,18.48,13.15,0,63,4.64,21.54,13.12,0.23,0.78,0.61,0.08,14.9,1,14.57,891.5,71,3.53,0.05,213.44,14.3,51,1.16,63.94,86,32,15.66
Sun Apr 01 14:12:24 GMT+09:00 2018,01-4월-2018 14:12:25.171,127.12276473,36.6418142,8.75,3,139,347.3,2.25,8.64,6.37,0.14,-0.2,-,-,997.47,-,37,13.25,7.57,-,14.5,0.05,0.31,135.84,42,13.78,440,223.8,-14.87,0.01,0.87,0.01,6.8,45.15,0.01,18.48,13.15,0,66,4.64,21.54,13.12,0.24,0.88,0.56,0.12,38.43,1,14.57,891.5,72,3.53,0.05,213.44,14.3,51,1.16,63.94,86,32,15.66
Sun Apr 01 14:12:25 GMT+09:00 2018,01-4월-2018 14:12:26.157,127.12274638,36.64189315,8.5,3,139,348.1,2.55,8.55,6.48,0.14,-0.2,-,-,997.47,-,37,15.33,9.2,-,14.5,0,0.2,135.6,42,1.51,440,223.8,-14.87,0.01,0,0,6.8,45.15,0.01,2.03,90.27,0,66,6.34,15.78,17.9,0.25,0.86,0.53,0.1,38.43,1,14.57,1691.5,72,89.8,0.07,213.46,14.3,51,5.08,8.54,86,32,19.58
